,Gene,Cluster
540,ENSG00000124207,1.0
541,ENSG00000055332,1.0
542,ENSG00000133028,1.0
543,ENSG00000132623,1.0
544,ENSG00000083093,1.0
545,ENSG00000114416,1.0
546,ENSG00000109625,1.0
547,ENSG00000153006,1.0
548,ENSG00000197343,1.0
549,ENSG00000103342,1.0
550,ENSG00000006652,1.0
551,ENSG00000240891,1.0
552,ENSG00000081386,1.0
553,ENSG00000273680,1.0
554,ENSG00000171155,1.0
555,ENSG00000168944,1.0
556,ENSG00000196659,1.0
557,ENSG00000175354,1.0
558,ENSG00000021776,1.0
559,ENSG00000169752,1.0
560,ENSG00000137692,1.0
561,ENSG00000133704,1.0
562,ENSG00000144792,1.0
563,ENSG00000111785,1.0
564,ENSG00000111731,1.0
565,ENSG00000058063,1.0
566,ENSG00000082213,1.0
567,ENSG00000182504,1.0
568,ENSG00000148926,1.0
569,ENSG00000196597,1.0
570,ENSG00000128915,1.0
571,ENSG00000100916,1.0
572,ENSG00000159082,1.0
573,ENSG00000152942,1.0
574,ENSG00000120756,1.0
575,ENSG00000126858,1.0
576,ENSG00000079335,1.0
577,ENSG00000131508,1.0
578,ENSG00000145740,1.0
579,ENSG00000186017,1.0
580,ENSG00000170458,1.0
581,ENSG00000224411,1.0
582,ENSG00000107816,1.0
583,ENSG00000154174,1.0
584,ENSG00000279419,1.0
585,ENSG00000029725,1.0
586,ENSG00000170471,1.0
587,ENSG00000214367,1.0
588,ENSG00000258900,1.0
589,ENSG00000265967,1.0
590,ENSG00000136643,1.0
591,ENSG00000139324,1.0
592,ENSG00000168807,1.0
593,ENSG00000168301,1.0
594,ENSG00000087448,1.0
595,ENSG00000120685,1.0
596,ENSG00000206562,1.0
597,ENSG00000170836,1.0
598,ENSG00000075089,1.0
599,ENSG00000012171,1.0
600,ENSG00000112701,1.0
601,ENSG00000148153,1.0
602,ENSG00000172954,1.0
603,ENSG00000116138,1.0
604,ENSG00000168661,1.0
605,ENSG00000126814,1.0
606,ENSG00000066855,1.0
607,ENSG00000124209,1.0
608,ENSG00000146757,1.0
609,ENSG00000182983,1.0
610,ENSG00000136870,1.0
611,ENSG00000164576,1.0
612,ENSG00000198598,1.0
613,ENSG00000086827,1.0
614,ENSG00000108064,1.0
615,ENSG00000101343,1.0
616,ENSG00000167767,1.0
617,ENSG00000166128,1.0
618,ENSG00000240972,1.0
619,ENSG00000167994,1.0
620,ENSG00000127928,1.0
621,ENSG00000189376,1.0
622,ENSG00000018869,1.0
623,ENSG00000136709,1.0
624,ENSG00000163624,1.0
625,ENSG00000147883,1.0
626,ENSG00000261136,1.0
627,ENSG00000100483,1.0
628,ENSG00000138032,1.0
629,ENSG00000137185,1.0
630,ENSG00000114446,1.0
631,ENSG00000144736,1.0
632,ENSG00000117054,1.0
633,ENSG00000120784,1.0
634,ENSG00000124171,1.0
635,ENSG00000134897,1.0
636,ENSG00000089335,1.0
637,ENSG00000188342,1.0
638,ENSG00000234545,1.0
639,ENSG00000129292,1.0
640,ENSG00000144061,1.0
641,ENSG00000271092,1.0
642,ENSG00000115942,1.0
643,ENSG00000147649,1.0
644,ENSG00000104626,1.0
645,ENSG00000237499,1.0
646,ENSG00000232803,1.0
647,ENSG00000107779,1.0
648,ENSG00000183018,1.0
649,ENSG00000115392,1.0
650,ENSG00000144034,1.0
651,ENSG00000125871,1.0
652,ENSG00000163684,1.0
653,ENSG00000162437,1.0
654,ENSG00000198791,1.0
655,ENSG00000272112,1.0
656,ENSG00000133393,1.0
657,ENSG00000221944,1.0
658,ENSG00000152147,1.0
659,ENSG00000183155,1.0
660,ENSG00000140471,1.0
661,ENSG00000104154,1.0
662,ENSG00000115904,1.0
663,ENSG00000136986,1.0
664,ENSG00000198455,1.0
665,ENSG00000184575,1.0
666,ENSG00000153896,1.0
667,ENSG00000101109,1.0
668,ENSG00000156504,1.0
669,ENSG00000153560,1.0
670,ENSG00000197961,1.0
671,ENSG00000170855,1.0
672,ENSG00000138346,1.0
673,ENSG00000177842,1.0
674,ENSG00000155903,1.0
675,ENSG00000189184,1.0
676,ENSG00000204072,1.0
677,ENSG00000177873,1.0
678,ENSG00000123094,1.0
679,ENSG00000171016,1.0
680,ENSG00000124786,1.0
681,ENSG00000095787,1.0
682,ENSG00000172766,1.0
683,ENSG00000112308,1.0
684,ENSG00000102218,1.0
685,ENSG00000255420,1.0
686,ENSG00000143771,1.0
687,ENSG00000060749,1.0
688,ENSG00000133193,1.0
689,ENSG00000101126,1.0
690,ENSG00000169446,1.0
691,ENSG00000119335,1.0
692,ENSG00000162623,1.0
693,ENSG00000175606,1.0
694,ENSG00000136243,1.0
695,ENSG00000251192,1.0
696,ENSG00000144224,1.0
697,ENSG00000164944,1.0
698,ENSG00000165209,1.0
699,ENSG00000068885,1.0
700,ENSG00000167635,1.0
701,ENSG00000137513,1.0
702,ENSG00000117697,1.0
703,ENSG00000155621,1.0
704,ENSG00000120656,1.0
705,ENSG00000120675,1.0
706,ENSG00000144231,1.0
707,ENSG00000138035,1.0
708,ENSG00000180263,1.0
709,ENSG00000115761,1.0
710,ENSG00000114166,1.0
711,ENSG00000152457,1.0
