,Gene,Cluster
442,ENSG00000120802,4.0
443,ENSG00000109332,4.0
444,ENSG00000168491,4.0
445,ENSG00000104894,4.0
446,ENSG00000166845,4.0
447,ENSG00000261292,4.0
448,ENSG00000151233,4.0
449,ENSG00000152484,4.0
450,ENSG00000164144,4.0
451,ENSG00000186767,4.0
452,ENSG00000279453,4.0
453,ENSG00000152402,4.0
454,ENSG00000125249,4.0
455,ENSG00000071189,4.0
456,ENSG00000101335,4.0
457,ENSG00000115808,4.0
458,ENSG00000145780,4.0
459,ENSG00000174695,4.0
460,ENSG00000196937,4.0
461,ENSG00000145817,4.0
462,ENSG00000240065,4.0
463,ENSG00000158711,4.0
464,ENSG00000181915,4.0
465,ENSG00000169446,4.0
466,ENSG00000276842,4.0
467,ENSG00000142875,4.0
468,ENSG00000169967,4.0
469,ENSG00000143742,4.0
470,ENSG00000100528,4.0
471,ENSG00000198455,4.0
472,ENSG00000175895,4.0
473,ENSG00000030419,4.0
474,ENSG00000275426,4.0
475,ENSG00000185305,4.0
476,ENSG00000186106,4.0
477,ENSG00000047932,4.0
478,ENSG00000146373,4.0
479,ENSG00000181751,4.0
480,ENSG00000196323,4.0
481,ENSG00000102081,4.0
482,ENSG00000077942,4.0
483,ENSG00000271971,4.0
484,ENSG00000152413,4.0
485,ENSG00000185127,4.0
486,ENSG00000221823,4.0
487,ENSG00000072133,4.0
488,ENSG00000164542,4.0
489,ENSG00000138814,4.0
490,ENSG00000205423,4.0
491,ENSG00000104388,4.0
492,ENSG00000115419,4.0
493,ENSG00000111181,4.0
494,ENSG00000182179,4.0
495,ENSG00000185697,4.0
496,ENSG00000106299,4.0
497,ENSG00000172260,4.0
498,ENSG00000186687,4.0
499,ENSG00000168077,4.0
500,ENSG00000101166,4.0
501,ENSG00000144744,4.0
502,ENSG00000081154,4.0
503,ENSG00000140678,4.0
504,ENSG00000177034,4.0
505,ENSG00000119953,4.0
506,ENSG00000002933,4.0
507,ENSG00000260966,4.0
508,ENSG00000152749,4.0
509,ENSG00000251867,4.0
510,ENSG00000234456,4.0
511,ENSG00000275569,4.0
512,ENSG00000136051,4.0
513,ENSG00000148154,4.0
514,ENSG00000109184,4.0
515,ENSG00000169504,4.0
516,ENSG00000163577,4.0
517,ENSG00000135926,4.0
518,ENSG00000168876,4.0
519,ENSG00000257594,4.0
520,ENSG00000152219,4.0
521,ENSG00000111679,4.0
522,ENSG00000142864,4.0
523,ENSG00000167005,4.0
524,ENSG00000182504,4.0
525,ENSG00000146281,4.0
526,ENSG00000137941,4.0
527,ENSG00000048405,4.0
528,ENSG00000164933,4.0
529,ENSG00000082258,4.0
530,ENSG00000104972,4.0
531,ENSG00000205707,4.0
532,ENSG00000166479,4.0
533,ENSG00000198015,4.0
534,ENSG00000196850,4.0
535,ENSG00000124733,4.0
536,ENSG00000180628,4.0
537,ENSG00000140459,4.0
538,ENSG00000205208,4.0
539,ENSG00000276957,4.0
540,ENSG00000149231,4.0
541,ENSG00000165288,4.0
542,ENSG00000149090,4.0
543,ENSG00000156136,4.0
544,ENSG00000113742,4.0
545,ENSG00000271020,4.0
546,ENSG00000166426,4.0
547,ENSG00000104497,4.0
548,ENSG00000230896,4.0
549,ENSG00000152944,4.0
550,ENSG00000269968,4.0
551,ENSG00000152409,4.0
552,ENSG00000172795,4.0
553,ENSG00000168772,4.0
554,ENSG00000235436,4.0
555,ENSG00000242114,4.0
556,ENSG00000101439,4.0
557,ENSG00000113356,4.0
558,ENSG00000115145,4.0
559,ENSG00000100483,4.0
560,ENSG00000254685,4.0
561,ENSG00000075089,4.0
562,ENSG00000164164,4.0
563,ENSG00000110324,4.0
564,ENSG00000107362,4.0
565,ENSG00000260526,4.0
566,ENSG00000165650,4.0
567,ENSG00000102753,4.0
568,ENSG00000048392,4.0
569,ENSG00000155366,4.0
570,ENSG00000107864,4.0
571,ENSG00000118260,4.0
572,ENSG00000062725,4.0
573,ENSG00000105559,4.0
574,ENSG00000236824,4.0
575,ENSG00000187735,4.0
576,ENSG00000135316,4.0
577,ENSG00000163281,4.0
578,ENSG00000005249,4.0
579,ENSG00000272686,4.0
580,ENSG00000177485,4.0
581,ENSG00000114120,4.0
582,ENSG00000115421,4.0
583,ENSG00000130707,4.0
584,ENSG00000247556,4.0
585,ENSG00000180638,4.0
586,ENSG00000270223,4.0
587,ENSG00000132356,4.0
588,ENSG00000223960,4.0
589,ENSG00000187257,4.0
590,ENSG00000205765,4.0
591,ENSG00000276664,4.0
592,ENSG00000131095,4.0
593,ENSG00000166482,4.0
594,ENSG00000171204,4.0
595,ENSG00000134255,4.0
596,ENSG00000171862,4.0
597,ENSG00000166260,4.0
598,ENSG00000100916,4.0
599,ENSG00000102781,4.0
600,ENSG00000095970,4.0
601,ENSG00000086666,4.0
602,ENSG00000106538,4.0
603,ENSG00000132406,4.0
604,ENSG00000135776,4.0
605,ENSG00000221909,4.0
606,ENSG00000047634,4.0
607,ENSG00000138767,4.0
608,ENSG00000166200,4.0
609,ENSG00000232934,4.0
610,ENSG00000173452,4.0
611,ENSG00000145782,4.0
612,ENSG00000177469,4.0
613,ENSG00000139505,4.0
614,ENSG00000168118,4.0
615,ENSG00000163320,4.0
616,ENSG00000173805,4.0
617,ENSG00000104626,4.0
618,ENSG00000078140,4.0
619,ENSG00000141756,4.0
620,ENSG00000165244,4.0
621,ENSG00000171262,4.0
622,ENSG00000176853,4.0
623,ENSG00000164118,4.0
624,ENSG00000058063,4.0
625,ENSG00000088035,4.0
626,ENSG00000138386,4.0
627,ENSG00000145740,4.0
628,ENSG00000163558,4.0
629,ENSG00000114978,4.0
630,ENSG00000135549,4.0
631,ENSG00000162607,4.0
632,ENSG00000163428,4.0
633,ENSG00000113441,4.0
634,ENSG00000197959,4.0
635,ENSG00000164244,4.0
636,ENSG00000197147,4.0
637,ENSG00000134152,4.0
638,ENSG00000114346,4.0
639,ENSG00000186298,4.0
640,ENSG00000107854,4.0
641,ENSG00000041353,4.0
642,ENSG00000006534,4.0
643,ENSG00000149451,4.0
644,ENSG00000115827,4.0
645,ENSG00000066422,4.0
646,ENSG00000137726,4.0
647,ENSG00000171631,4.0
648,ENSG00000117691,4.0
649,ENSG00000144357,4.0
650,ENSG00000167779,4.0
651,ENSG00000074935,4.0
652,ENSG00000173451,4.0
653,ENSG00000265808,4.0
654,ENSG00000276334,4.0
655,ENSG00000242574,4.0
656,ENSG00000146802,4.0
657,ENSG00000145354,4.0
658,ENSG00000197956,4.0
659,ENSG00000196437,4.0
660,ENSG00000092621,4.0
661,ENSG00000109610,4.0
662,ENSG00000168303,4.0
663,ENSG00000223865,4.0
