,Gene,Cluster
887,ENSG00000142235,1.0
888,ENSG00000105879,1.0
889,ENSG00000182870,1.0
890,ENSG00000197558,1.0
891,ENSG00000171222,1.0
892,ENSG00000007516,1.0
893,ENSG00000100284,1.0
894,ENSG00000109184,1.0
895,ENSG00000115257,1.0
896,ENSG00000167861,1.0
897,ENSG00000129226,1.0
898,ENSG00000052723,1.0
899,ENSG00000213281,1.0
900,ENSG00000179476,1.0
901,ENSG00000198715,1.0
902,ENSG00000183828,1.0
903,ENSG00000110328,1.0
904,ENSG00000272921,1.0
905,ENSG00000164542,1.0
906,ENSG00000123091,1.0
907,ENSG00000127586,1.0
908,ENSG00000161544,1.0
909,ENSG00000182575,1.0
910,ENSG00000136274,1.0
911,ENSG00000244486,1.0
912,ENSG00000204923,1.0
913,ENSG00000114933,1.0
914,ENSG00000261799,1.0
915,ENSG00000131023,1.0
916,ENSG00000105701,1.0
917,ENSG00000244165,1.0
918,ENSG00000061273,1.0
919,ENSG00000130402,1.0
920,ENSG00000058804,1.0
921,ENSG00000005884,1.0
922,ENSG00000113763,1.0
923,ENSG00000165650,1.0
924,ENSG00000135535,1.0
925,ENSG00000106268,1.0
926,ENSG00000182578,1.0
927,ENSG00000196456,1.0
928,ENSG00000122756,1.0
929,ENSG00000160360,1.0
